% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 17 2024, 16:12"
% Dimension,1
% Nodes,714
% Expressions,1
% Description,Line graph
% cln1x,Power flow, y component
-0.30000011966669354,3.3099985111604805E12
-0.29999987572130643,3.282844591439737E12
-0.20000018358344934,6.15095357355123E12
-0.19999981426884034,6.130257269708197E12
-0.10000024625290758,9.227002312586416E12
-0.09999975284538491,9.422140870405164E12
-3.085318003983853E-7,1.1108888063274617E13
3.0861930790494146E-7,1.0981181156310441E13
0.0999996293694163,9.358666599575064E12
0.10000036947341928,9.370058335984676E12
0.19999956693532217,6.07129881268598E12
0.20000042693957107,6.110536869778375E12
0.29999950185795576,3.285374811953022E12
0.3000004727679491,3.3081549226929375E12
0.3999994293182284,1.170419867707404E12
0.4000004678129667,1.2051940993388403E12
0.49999933845623323,-3.5592431109134717E11
0.5,-3.3914286502919543E11
-0.5,-1.1909137852224363E12
-0.40000005355451246,1.2818383879789739E12
-0.3999999371453867,1.2507415974186743E12
-0.30000011966669354,3.675640143719093E12
-0.29999987572130643,3.679449940121159E12
-0.20000018358344934,6.851120030432869E12
-0.19999981426884034,6.854040520325825E12
-0.10000024625290758,1.0263765882175486E13
-0.09999975284538491,1.0362990475675648E13
-3.085318003983853E-7,1.1757679380081627E13
3.0861930790494146E-7,1.1826063292819133E13
0.0999996293694163,1.0399151164043365E13
0.10000036947341928,1.0296585343196E13
0.19999956693532217,6.898030782690113E12
0.20000042693957107,6.933878283814648E12
0.29999950185795576,3.542452139465256E12
0.3000004727679491,3.586409427208344E12
0.3999994293182284,1.2100828470368918E12
0.4000004678129667,1.262704550711681E12
0.49999933845623323,-4.629151129130656E11
0.5,-5.1856693127166644E11
-0.5,-1.4129714698031575E12
-0.40000005355451246,1.2925189789381687E12
-0.3999999371453867,1.1802472460596035E12
-0.30000011966669354,3.5803937885407188E12
-0.29999987572130643,3.5987293954106104E12
-0.20000018358344934,6.645108631588106E12
-0.19999981426884034,6.675513710675103E12
-0.10000024625290758,1.0513999059135389E13
-0.09999975284538491,1.0666250049216312E13
-3.085318003983853E-7,1.1902710041868162E13
3.0861930790494146E-7,1.2055837577367854E13
0.0999996293694163,1.0497321079418008E13
0.10000036947341928,1.0263430357743205E13
0.19999956693532217,6.678329923896745E12
0.20000042693957107,6.689587050636398E12
0.29999950185795576,3.617679595004214E12
0.3000004727679491,3.625649393716614E12
0.3999994293182284,1.20142905903495E12
0.4000004678129667,1.2919348938795408E12
0.49999933845623323,-5.341887286386181E11
0.5,-6.372625523558353E11
-0.5,-1.5070282800515017E12
-0.40000005355451246,1.2701449401119705E12
-0.3999999371453867,1.172062577111152E12
-0.30000011966669354,3.3027553246323896E12
-0.29999987572130643,3.2565656523644966E12
-0.20000018358344934,6.014731297046811E12
-0.19999981426884034,6.047018341024978E12
-0.10000024625290758,9.35730887079587E12
-0.09999975284538491,9.447097496978945E12
-3.085318003983853E-7,1.0648174170313443E13
3.0861930790494146E-7,1.044696707165549E13
0.0999996293694163,9.334682813094334E12
0.10000036947341928,9.239116028857016E12
0.19999956693532217,6.069071142770999E12
0.20000042693957107,6.064250444202884E12
0.29999950185795576,3.2239429213440244E12
0.3000004727679491,3.2917193940076206E12
0.3999994293182284,1.1930455584421643E12
0.4000004678129667,1.2797361565161963E12
0.49999933845623323,-5.452421315475574E11
0.5,-6.766826678513993E11
-0.5,-1.4053300640858855E12
-0.40000005355451246,1.0855627957266647E12
-0.3999999371453867,1.0334311881455052E12
-0.30000011966669354,3.1432555943496514E12
-0.29999987572130643,3.071686446195597E12
-0.20000018358344934,6.225540622295696E12
-0.19999981426884034,6.253851973292094E12
-0.10000024625290758,9.581444735868633E12
-0.09999975284538491,9.46989068375206E12
-3.085318003983853E-7,1.048962176025437E13
3.0861930790494146E-7,1.0722028869127129E13
0.0999996293694163,9.528292978942889E12
0.10000036947341928,9.347848044863156E12
